YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,QV2M,T2M,WS10M
2023,1,1,0,0,0,-999,-999,-999,4.7,8.01,2.77
2023,1,1,1,0,0,-999,-999,-999,4.76,7.55,2.59
2023,1,1,2,0,0,-999,-999,-999,4.88,7.26,2.37
2023,1,1,3,0,0,-999,-999,-999,4.94,7.47,2.05
2023,1,1,4,0,0,-999,-999,-999,5,7.69,1.82
2023,1,1,5,0,0,-999,-999,-999,5,7.76,1.59
2023,1,1,6,0,0,-999,-999,-999,5,7.9,1.32
2023,1,1,7,53,36.19,0.32,0.16,85.45,5,8.58,1.08
2023,1,1,8,241.6,158.8,0.44,0.17,75.08,5,10.44,1.05
2023,1,1,9,418.4,237.06,0.41,0.16,66.09,4.94,11.69,1.32
2023,1,1,10,549.75,292.36,0.41,0.16,59.23,4.82,13.33,1.47
2023,1,1,11,604.98,345.15,0.43,0.16,55.32,4.03,16.08,2.12
2023,1,1,12,611.73,329.34,0.41,0.16,54.98,3.48,17.99,2.65
2023,1,1,13,552.33,301.8,0.41,0.16,58.29,3.48,18.56,2.24
2023,1,1,14,432.02,257.52,0.43,0.16,64.68,3.48,18.54,1.54
2023,1,1,15,263.9,185.84,0.46,0.17,73.34,4.39,17.74,0.79
2023,1,1,16,78.1,57.55,0.36,0.16,83.5,4.39,15.9,1.08
2023,1,1,17,0,0,-999,-999,-999,3.85,14.33,1.4
2023,1,1,18,0,0,-999,-999,-999,3.72,13.37,1.49
2023,1,1,19,0,0,-999,-999,-999,3.6,12.32,1.47
2023,1,1,20,0,0,-999,-999,-999,3.54,11.81,1.37
2023,1,1,21,0,0,-999,-999,-999,3.48,11.55,1.25
2023,1,1,22,0,0,-999,-999,-999,3.42,10.89,1.23
2023,1,1,23,0,0,-999,-999,-999,3.36,10.05,1.37
2023,1,2,0,0,0,-999,-999,-999,3.36,9.22,1.69
2023,1,2,1,0,0,-999,-999,-999,3.36,8.26,2
2023,1,2,2,0,0,-999,-999,-999,3.42,7.34,2.12
2023,1,2,3,0,0,-999,-999,-999,3.42,7.19,1.89
2023,1,2,4,0,0,-999,-999,-999,3.48,7.37,1.27
2023,1,2,5,0,0,-999,-999,-999,3.48,7.33,0.9
2023,1,2,6,0,0,-999,-999,-999,3.48,6.82,0.83
2023,1,2,7,53.23,30.82,0.28,0.15,85.48,3.54,6.71,0.86
2023,1,2,8,241.4,109.88,0.3,0.16,75.09,3.6,8.73,1.14
2023,1,2,9,417.25,199.4,0.35,0.16,66.09,3.66,11.19,1.05
2023,1,2,10,547.77,275.97,0.38,0.16,59.2,3.54,16.1,1.14
2023,1,2,11,605.2,349.77,0.44,0.16,55.26,3.42,18.87,1.37
2023,1,2,12,608.58,390.42,0.48,0.13,54.89,3.3,19.84,1.66
2023,1,2,13,548.52,358.95,0.48,0.13,58.17,3.17,20.08,1.86
2023,1,2,14,428.45,316.95,0.52,0.12,64.55,3.05,19.58,2.02
2023,1,2,15,262.17,203.27,0.5,0.17,73.2,3.54,18.51,1.77
2023,1,2,16,78.4,59.23,0.36,0.17,83.35,4.09,15.42,1.75
2023,1,2,17,0,0,-999,-999,-999,3.48,13.69,1.89
